code,character,scripter,rank,artist,name,story
40,周果子,查米吗琳,R,王久哔哔叭叭,禁忌,"你想买真实拥吻还是夜晚的狂欢？
不，那些都不足够，你要为循规蹈矩的一生寻求最有价值的那枚禁果。即使盘踞其中的毒蛇吐着鲜红的信子，即使商人告诉你代价仍是未知。
“可未知不就是最刺激的禁忌吗？”你兴奋地说道。“我不要保守、不要安全，我要释放，要自由！”
你将禁果一口咬下，还未尝到甜美的滋味，难以忍受的辛辣感便开始灼烧你的口腔。
从那以后，你再也没能找到通往伊甸的入口。"
41,周果子,查米吗琳,R,YiBaooooooor,反转,"“我讨厌自己的一切，我想要体验完全相反的人生。”
“即便你要撕裂自我认同，重塑一切认知吗？”
“那又如何？好了，代价是什么？”
一阵强光后，你感到手心多了一把钥匙。你迫不及待打开面前的门，第一眼看到的却是自己曾经的背影。
你越过自己，大步向前，向着已既定的结局。
“新生是一场灵魂的分娩，因此代价就是，当你明白对立终将走向共生时，觉悟的那一滴眼泪。”"
42,周果子,查米吗琳,R,YiBaooooooor,醉意,"为何痛苦的记忆总是清晰的？
为何幸福的记忆总是朦胧的？
落差感催生了对沉溺的渴望。你想：从商店买回的快乐是如此的轻盈易碎，还不如选择用酒精将痛苦腌渍成甜蜜的麻沸散。
商人递来一杯缤纷的鸡尾酒。
渐渐的，过往的折磨都变得真假莫辨，未来的坎坷都变得虚实难测。
痛觉和快感的界限被抹去，存在的轮廓也在逐渐溶解。
你躺在睡梦中，飘向了无知无觉的虚无。"
43,周果子,查米吗琳,R,MaGuss_,失真,"污浊的灵魂失去了祈祷的资格。你将虚无当作圣殿，将神秘商人当作最后的稻草。
交易既成，他拿走了你的心虚与不安，卖给你想要的安稳。
你顿感轻盈，仿佛曾经撒过的无数个谎顷刻间化为了泡沫。
回到生活中去吧，可为何迎接自己的是人们死一般的沉寂与仇恨的目光？
原来要抹去欺骗，就是被活活溺毙在谎言成真的深潭里。
“有人在看你的过去，你逃不出去。”"
44,周卡布,查米吗琳,SSR,满22221,他的心脏,"一个材料过于柔软的仿生人从长久的休眠中惊醒。
他对提前的苏醒感到迷茫，但熟悉的暖流在缓缓注入他的身体——是供能泵-1992型，用以储藏仿生人的养料。
供能泵还在工作吗？可为什么我会感到身上有无数的伤口正在疼痛？他痛苦地想。仿生人怎么会无法停止浑身的颤栗，并且泪流不止？
窸窸窣窣，窃窃私语。
喜怒哀乐，悲欢离合。
他忽然听到了什么，是灵魂的声音，无数的真正的灵魂，来自真实的人类，像萤火一样辉映共振，正依偎在他的身边喃喃低语着。
他们在讲述那些最初和最终，他们为他描述野花和月亮，他们发泄着无处可去的忧伤……
他听着，眼泪就汇成了小小的海洋。他说，请让我停止休眠吧，无法抵达未来也没关系，这些灵魂需要我，他们需要清晰的回声。
他开口，一枚蓝色的心脏就应运而生。
众生的祈愿包裹着小小的身影，托举起一颗真实的，人类的心脏。"
45,周卡布,查米吗琳,SR,下雨咯_做猫饭版,心念燎原,"整理照片的时候，才发现连相册的一页也没有贴满。
于是心里突然想，抹除这些痕迹未免太容易，也许只要一根火柴而已。
这算是悲观吗？可这也是事实……不过，至少还有一些网络数据。
不知道那些曾经喜欢听我唱歌的人过得还好吗？
他们之中，会有人想替我记录我吗？
怎么记录呢？没有照片啊。我也不喜欢拍照。
连二十页的相册都装不满。难道世界上的某个角落，会有人为我做一本大相册吗？
或许能保存在谁的U盘里面？或许能刻一张小小的光碟？磁带？
还会想起我吗？还会听到我吗？
……
马上要到寒冷的地方去了。
无数的疑问，灼烧心中稚嫩的草原。"
46,周卡布,查米吗琳,SR,下雨咯_做猫饭版,不做谁的花,"“这支花是……？”
“是朋友送的！我取了一支插上。”
我笑：“很少见这个场合送玫瑰。”
“老师您不会是来挖绯闻的吧……”
“是根据我的一首歌《玫瑰与小鹿》送的啦。”他指指自己。“您看，鹿角。”
我在一旁观察这位今日专访的主角，造型师正在为他试妆。他马上要登台自己的个唱，神情紧张，但时不时又会透过镜子对我微笑，再度专注时，就有哼唱声传到我耳边。
这次他要扮演一只小鹿，眼下有如泪的钻石。但我仍在想玫瑰，那已状似平常、却能在漫长的时间里保持高贵，寄托最绵长的情感的花朵。
花瓣上的露珠就要蒸发了，连同青涩与迷茫。"
47,周卡布,查米吗琳,R,胡同口卯時二刻,学习等待,"To：米子
你好！！谢谢你的来信！
你在信中提到“努力的过程太漫长太难熬了”，我懂！！这种感觉！但等待好像是我们需要从小到大一直慢慢去学的课题，我也不是很适应等待的感觉，可还是要忍到最后一刻，因为好像也没有办法不这样做吧？可是如果你觉得无聊了，可以去找朋友一起做这件事，或者自己给自己一点奖励(我小时候就会去买点洋芋粑粑补充能量哈哈哈哈
Ps：要记得好好吃饭哦！"
48,周卡布,查米吗琳,R,胡同口卯時二刻,新尝试,"2010.10.11
今天买到了几双很不错穿的新鞋子(其实我自己不太能看得出来好不好……汗-_-|||不过身边所有人都在强烈推荐诶
去上海的时候就发现有好多人都会根据衣服搭配不同风格的配饰0. 0的确很好看！！！但还是好穿什么的最重要！！！(偷偷说一句只在店里面试一下真的能感觉出来吗哈哈哈哈哈
要不要发个围脖分享一下？可是又好像没什么好说的~
算了，什么都不要说了，一切尽在不言中，咩哈哈……"
49,周卡布,查米吗琳,R,满22221,启航,"卡布叻号 2020年7月8日
天气：多云+阵雨 地点：海上（笑）
记录：船长（第1天）
筹备了近一周的时间，眼下到了要出发的日子。天气虽不是最佳，但相信宝藏的所在地会有美好的风景。眼下还不是挂帆的时候，大约要再等两星期吧……届时就让风浪带我们去往各地，不知道会有怎样的邂逅与冒险呢？
……
记录：？（第1843天）
@%^&:/”$!
“喂！八只脚的家伙！”
船长从机械青鸟的背上一跃而下。
“不许趁我不在的时候在航海日记上乱涂乱画！”"
50,周卡布,查米吗琳,R,头号库克,好朋友,“什么声音？我在吃鸡蛋呢，煎的——其实我不太喜欢吃蛋黄耶，感觉会有点腥……可是很有营养不可以浪费所以还是吃咯。溏心蛋？救命溏心蛋怎么吃！不是不是对不起，因为我觉得还是有点不、熟？咳嗯没关系啊只要我们之间熟就可以啦！！Yuer！突然开始油腻。母鸡从小就是我的朋友呀，你们没有从鸡窝捡过鸡蛋吗？摸起来热热的叻。对呀~布丁是不是也是鸡蛋做的！所以说鸡蛋真的是好朋友~”
51,周卡布,查米吗琳,R,头号库克,我听见你,"手机相册中的一张截图，看起来似乎是在尝试录音。
不对，看起来这么开心的话，应该是在直播吧？
总共在这个话筒前坐了多少个小时，一点印象也没有了。
匿名唱给别人听的安心感，和与弹幕对话的紧张，倒是历历在目。
现在我能看清他们的脸了，和我想象的一样亲切。
甚至还有小朋友。甚至还有爷爷奶奶……
瞧你，你呀你呀，这样地笑着，也没有料到吧？
就算摘下了耳机，听见的也还是爱意。"
81,周卡布,查米吗琳,SP,满22221,共生&生长,"以生命为长度单位，人类创造出许多优秀的故事。
起笔不外乎剖析自己，年轻的孩子，心往里面沉，可只找到只言片语、寥寥相纸。
他还有旅途漫漫，在风中，雨中，有时面对暴雪。他跑得气喘吁吁，身形摇摇欲坠。
他拾起被人们视为负重而丢掉的那些东西。
也收起短暂同行之人友好的问候，或满腹的牢骚。
没装满的存钱筒，收到的第一束花，他统统接纳。单薄的外壳，成了世间凡尘的归处。
这些由我来珍重吧，他想，就放到我的心里面去。
他再一次把心沉下去，这一次，他看到了另一个自己。
坚定的，沉稳的，在众人的光辉之上，还有耀眼的底色。
我们接力换手吧，年轻的孩子说。
他捧出一颗星星。
收下我的血肉，种作你的根脉，见证你我承诺。
待你茁壮，这个世界也许会记起那些，空壳之所以为空壳的故事。
待你盛放，这个世界将再也不会忘记，我们以后创作的那些故事。"
52,,大山深处的唢呐,N,甜团子咸粽子,特写,"周深的宠物（不跟着版）。
老板曾表示：不要给特写啦！！"
53,,大山深处的唢呐,N,甜团子咸粽子,N之经典,"一位非常经典的N卡帚神。
据说是陈年老梗了，但既然提到卡牌就会被反复翻新，都卡牌企划了怎么能没有他呢。"
54,,大山深处的唢呐,N,氵衮去看书,暗自联动,"可可们喊着羁绊啊联动啊就那么冲过来了。
至于嫑嫑是来干啥的，不知道，可能是参演吧。总之可可（们）都说这锅很重要，于是给了他最大的镜头。"
55,,大山深处的唢呐,N,大山深处的唢呐,团结一芯,"这就是我们的——白T合唱团！
不存在扰民哦，只是会出现在你的梦里。
（我真写不出来了，谁来救一下，直接在表格里改就行了不用问我）"
56,,查米吗琳,N,胡同口卯時二刻,章鱼锅,CN：周嫑嫑
57,,查米吗琳,N,啾星原产果冻现摘现发,萌前大桥下,咕嘎咕嘎，嫑淋湿啦
58,,大山深处的唢呐,N,一锅望仔,喜欢米来,"可可巧克力广告！吃得开心吃得饱。
——代言人嫑嫑。
列入年度广告合集。"
59,,大山深处的唢呐,N,迷匣匣匣,就一勺,"我们可以去你家吃饭吗.jpg
你好，我们就吃一口.jpg"
60,,大山深处的唢呐,N,MaGuss_,果师傅专业修锅,"可可工厂紧急加工的时候请到的支援：
给所有残次嫑整形的裁缝果子。
手手们这辈子也没想到自己有从事该行业的时候。
效率很高，五星好评。"
61,,大山深处的唢呐,N,大山深处的唢呐,抢票准备,"周果子在进行抢票准备。
其实他自己有票，但据说老板这个男人实在太烫了，老板又说自己人也必须严格按票进场，导致部分手手目前没票。"
62,,大山深处的唢呐,N,邪恶小毛米,体检报告,"又是可可娃大受欢迎的一天。
今日的可服也收到了提问：要给可可买衣服啦，可可要穿什么尺码的鞋呀？
有的，尺码有的。等一下，这个数据...你在给谁量？不是给这个可可量啊！！！"
63,,大山深处的唢呐,N,大山深处的唢呐,炫耀启示,"老板之炫耀可可启示。
据说其他成员目前都没抢到———也不知道是谁打印了那么多反正现在工作室到处都是这张图到底谁来管管！！"
64,,查米吗琳,N,某个画画的王工头,亮相,大萌术师上场啦！哦，什么……？是小魔术师？真的…？
65,,查米吗琳,N,某个画画的王工头,情长,看得到吗？我对你的爱在漫天飞舞呢，连风都来祝福
66,,查米吗琳,N,某个画画的王工头,稚时,丝巾缠得到处都是！那怎么啦？猫就是会这么干！
67,,查米吗琳,N,某个画画的王工头,725,别管我从哪里掏出来的啦！反正祝你生日快乐！请吃大西嘎
68,,查米吗琳,N,某个画画的王工头,萌动,拧出来的花和我这朵小fa，谁比较好看？小心陷阱题哟
69,,查米吗琳,N,某个画画的王工头,炽热,“你说我们要不要在一起~”什么告白？我没说啊！一定是天太热你出现了幻觉
70,,查米吗琳,N,某个画画的王工头,试探,如果这朵玫瑰向你飞了过去，那我藏起来的小心思该怎么办
71,,查米吗琳,N,某个画画的王工头,倾覆,就算喝了也不会再长高，你们也要相信这是一杯真的牛奶好不好
72,,查米吗琳,N,某个画画的王工头,咕咕,当个鸽手也很不错呢，就算我其实是内卷大王
73,,查米吗琳,N,某个画画的王工头,深米不动产,别墅一幢三套间，大庇天下米米俱欢颜，风雨不动安如山
74,,查米吗琳,N,某个画画的王工头,鱼雷来袭,今天给大家整点现代人的活！这位是第一次当现代人，包容包容
75,,查米吗琳,N,某个画画的王工头,小猫你能吃,可可复刻了麦麦的秘方，震撼美味！那么到底有多好吃呢！等会…咦…怎么抠不出来…
76,,查米吗琳,N,某个画画的王工头,排排坐,谁说的小凳子就该给小个子坐，站出来，背一下公主的名字
77,,查米吗琳,N,某个画画的王工头,记得买电池,天哪，没一个道具是省心的！不过没关系，你们有我就够了，对吧？
78,,查米吗琳,N,某个画画的王工头,劳模,听好了，这是真魔方，不是纸盒子，这是实心的，不是空心的……
79,,查米吗琳,N,某个画画的王工头,花言巧雨,"正适合下雨天，你我共用一把伞~另一把就给摄影师吧，我要他把我们都拍下来

(这个系列咋这么多，写活我了)"
82,,大山深处的唢呐,N,YiBaooooooor,可好猜了,无奖竞猜，打一成语，好难猜呀。
83,,大山深处的唢呐,N,NANANNNNNNN-,好多米啊,"好多米啊。
哇塞，
真的好多米啊。"
84,,大山深处的唢呐,N,NANANNNNNNN-,艺术品,"猫有什么错！你不许说猫有错。
什么叫他踩到了？这就是他创作的艺术品！"
85,,AAAray烤布蕾糖师傅,N,AAAray烤布蕾糖师傅,异宠遛弯,"200年后的某一天，热心市民周先生正在饭后散步，他的异宠乖巧地跟随在他的身边。
周先生是一个守法有道德的人，可爱的宠物们都被好好地拴上了绳。
今天天气可真好啊。"
86,,查米吗琳,N,查米吗琳,贝雷帽宇宙,"是谁穿了我（的衣服）！
而我又穿了谁（的衣服）！！"
87,,查米吗琳,N,cc三百首,审美积累,卢●宫展出的大作，但据说还只是大师高仿
